A,B,Weight
Alexander_Bryan_Johnson,Josiah_Warren,1
Alexander_Gottlieb_Baumgarten,Immanuel_Kant,1
Alexander_Herzen,Che_Guevara,1
Alexander_Herzen,Frankfurt_School,1
Alexander_Herzen,Isaiah_Berlin,1
Alexander_Herzen,Jean-Paul_Sartre,1
Alexander_Herzen,Leon_Trotsky,1
Alexander_Herzen,Mao_Zedong,1
Alexander_Herzen,Vladimir_Lenin,1
Alexander_Luria,Niall_McLaren,1
Alexander_of_Aphrodisias,Cesare_Cremonini,1
Alexander_of_Aphrodisias,Plotinus,1
Alexander_of_Hales,Bonaventure_,1
Alexandre_Kojève,Allan_Bloom,1
Alexandre_Kojève,Boris_Groys,1
Alexandre_Kojève,Jean-Paul_Sartre,1
Alexandre_Kojève,Leo_Strauss,1
Alexandre_Kojève,Raymond_Queneau,1
Alexandre_Koyré,Thomas_Kuhn,1
Alexis_de_Tocqueville,Emmanuel_Todd,1
Alexis_de_Tocqueville,Friedrich_Hayek,1
Alexis_de_Tocqueville,Hannah_Arendt,1
Alexis_de_Tocqueville,John_Stuart_Mill,1
Alexis_de_Tocqueville,Max_Weber,1
Alexius_Meinong,Bertrand_Russell,1
Alexius_Meinong,Christian_von_Ehrenfels,1
Alexius_Meinong,Ernst_Mally,1
Alexius_Meinong,Roderick_Chisholm,1
Alexius_Meinong,Terence_Parsons,1
Al-Farabi,Albertus_Magnus_,1
Al-Farabi,Leo_Strauss,1
Al-Farabi,Maimonides,1
Alfred_Korzybski,John_Grinder,1
Alfred_North_Whitehead,B._F._Skinner,1
Alfred_North_Whitehead,Bertrand_Russell,1
Alfred_North_Whitehead,Brian_Massumi,1
Alfred_North_Whitehead,Bruno_Latour,1
Alfred_North_Whitehead,C._D._Broad,1
Alfred_North_Whitehead,Charles_Hartshorne,1
Alfred_North_Whitehead,Eric_Voegelin,1
Alfred_North_Whitehead,Erin_Manning_(theorist),1
Alfred_North_Whitehead,George_Herbert_Mead,1
Alfred_North_Whitehead,Gilles_Deleuze,1
Alfred_North_Whitehead,Graham_Harman,1
Alfred_North_Whitehead,Hans_Jonas,1
Alfred_North_Whitehead,Isabelle_Stengers,1
Alfred_North_Whitehead,Jean_Wahl,1
Alfred_North_Whitehead,Maurice_Merleau-Ponty,1
Alfred_North_Whitehead,Mordecai_Kaplan,1
Alfred_North_Whitehead,Philip_Clayton_(theologian),1
Alfred_North_Whitehead,Susanne_Langer,1
Alfred_North_Whitehead,Talcott_Parsons,1
Alfred_North_Whitehead,Terence_McKenna,1
Alfred_North_Whitehead,Willard_Van_Orman_Quine,1
Alfred_North_Whitehead,William_Irwin_Thompson,1
Alfred_North_Whitehead,Wilmon_Henry_Sheldon,1
Alfred_North_Whitehead,Wolfgang_Smith,1
Alfred_Tarski,Donald_Davidson,1
Alfred_Tarski,Gila_Sher,1
Alfred_Weber,Erich_Fromm,1
Alfredo_M._Bonanno,Wolfi_Landstreicher,1
Algazel,Maimonides,1
Al-Hasan_ibn_'Ali_al-Barbahari,Ibn_Battah,1
Alhazen,René_Descartes,1
Ali_ibn_al-Madini,Ibrahim_ibn_Ya'qub_al-Juzajani,1
Ali_ibn_Husayn,Sa'id_ibn_Jubayr,1
Ali_ibn_Husayn,Tawus_ibn_Kaysan,1
